Time	MFC IN Counter value ls	MFC IN Measure sccm	MFC IN Setpoint sccm	Meter Out Counter value ls	Meter Out Measure ls/min
"?""2022-01-24 14:34:56.593"""	4.47945	62.21232	75	0.1057407	0
"?""2022-01-24 14:35:56.591"""	4.545303	62.04693	75	0.1057407	0
"?""2022-01-24 14:36:56.583"""	4.610897	60.81433	75	0.1057407	0
"?""2022-01-24 14:37:56.584"""	4.671354	50.67453	75	0.1057407	0
"?""2022-01-24 14:38:56.588"""	4.728792	55.31094	75	0.1059521	0
"?""2022-01-24 14:39:56.583"""	4.790259	61.09988	75	0.1060859	0
"?""2022-01-24 14:40:56.579"""	4.856649	63.06675	75	0.1060859	0
"?""2022-01-24 14:41:56.584"""	4.923469	65.1971	75	0.1060859	0
"?""2022-01-24 14:42:56.588"""	4.990264	62.10083	75	0.1222131	0
"?""2022-01-24 14:43:56.579"""	5.05644	62.2376	75	0.14205	0.03650022
"?""2022-01-24 14:44:56.579"""	5.122561	62.51012	75	0.1441682	0
"?""2022-01-24 14:45:56.584"""	5.188856	62.59487	75	0.1443075	0
"?""2022-01-24 14:46:56.577"""	5.25411	60.66383	75	0.1443075	0
"?""2022-01-24 14:47:56.576"""	5.316024	52.34162	75	0.1443075	0
"?""2022-01-24 14:48:56.581"""	5.371264	51.23476	75	0.1443075	0
"?""2022-01-24 14:49:56.584"""	5.425231	48.79263	75	0.1480079	0
"?""2022-01-24 14:50:56.575"""	5.478569	52.70758	75	0.1561459	0
"?""2022-01-24 14:51:56.576"""	5.535959	56.48357	75	0.1566257	0
"?""2022-01-24 14:52:56.567"""	5.597495	57.58784	75	0.1566257	0
"?""2022-01-24 14:53:56.568"""	5.659568	58.93485	75	0.1637475	0
"?""2022-01-24 14:54:56.572"""	5.722538	62.17509	75	0.1727519	0
"?""2022-01-24 14:55:56.577"""	5.790291	64.40078	75	0.1748966	0
"?""2022-01-24 14:56:56.564"""	5.857795	63.15301	75	0.1780691	0
"?""2022-01-24 14:57:56.553"""	5.925362	64.14677	75	0.1780691	0
"?""2022-01-24 14:58:56.557"""	5.993608	63.9215	75	0.1780691	0
"?""2022-01-24 14:59:56.549"""	6.061709	64.5034	75	0.1780691	0
"?""2022-01-24 15:00:56.550"""	6.130054	64.16396	75	0.184011	0
"?""2022-01-24 15:01:56.552"""	6.197203	65.17445	75	0.1972559	0
"?""2022-01-24 15:02:56.556"""	6.26393	62.6359	75	0.202982	0
"?""2022-01-24 15:03:56.544"""	6.330316	65.33953	75	0.2033303	0
"?""2022-01-24 15:04:56.548"""	6.397573	63.22561	75	0.2138635	0
"?""2022-01-24 15:05:56.552"""	6.46402	63.25582	75	0.2138635	0
"?""2022-01-24 15:06:56.540"""	6.530983	63.73558	75	0.2138635	0
"?""2022-01-24 15:07:56.531"""	6.597101	62.22013	75	0.2140071	0
"?""2022-01-24 15:08:56.532"""	6.663478	62.6262	75	0.2210659	0
"?""2022-01-24 15:09:56.536"""	6.729861	63.77573	75	0.2264018	0
"?""2022-01-24 15:10:56.529"""	6.795917	62.70262	75	0.2264018	0
"?""2022-01-24 15:11:56.528"""	6.861911	62.654	75	0.2362263	0
"?""2022-01-24 15:12:56.533"""	6.92805	62.50326	75	0.242697	0
"?""2022-01-24 15:13:56.524"""	6.995422	72.28532	75	0.242697	0
"?""2022-01-24 15:14:56.524"""	7.069582	69.88871	75	0.242697	0
"?""2022-01-24 15:15:56.528"""	7.14334	70.04428	75	0.2488672	0.1257006
"?""2022-01-24 15:16:56.519"""	7.218066	71.99443	75	0.2603057	0
"?""2022-01-24 15:17:56.507"""	7.29131	76.18842	75	0.263036	0
"?""2022-01-24 15:18:56.507"""	7.368701	74.7366	75	0.2716514	0
"?""2022-01-24 15:19:56.498"""	7.447983	75.96871	75	0.2777069	0
"?""2022-01-24 15:20:56.500"""	7.523893	69.36605	75	0.2852148	0
"?""2022-01-24 15:21:56.503"""	7.607751	78.88486	75	0.2898597	0.004070448
"?""2022-01-24 15:22:56.491"""	7.690844	83.99526	75	0.2961584	0
"?""2022-01-24 15:23:56.495"""	7.773483	82.41582	75	0.3052867	0
"?""2022-01-24 15:24:56.500"""	7.855514	70.82346	75	0.3184399	0.00840342
"?""2022-01-24 15:25:56.487"""	7.929798	71.33704	75	0.3258197	0
"?""2022-01-24 15:26:56.478"""	8.002248	63.69449	75	0.3302382	0
"?""2022-01-24 15:27:56.465"""	8.070146	58.26551	75	0.3402141	0
"?""2022-01-24 15:28:56.466"""	8.142723	65.04554	75	0.3402638	0
"?""2022-01-24 15:29:56.471"""	8.217005	74.15823	75	0.350265	0
"?""2022-01-24 15:30:56.461"""	8.293797	73.61843	75	0.3561301	0
"?""2022-01-24 15:31:56.462"""	8.375088	73.55848	75	0.3634636	0
"?""2022-01-24 15:32:56.467"""	8.45823	83.92648	75	0.375682	0
"?""2022-01-24 15:33:56.471"""	8.546617	88.23772	75	0.3800192	0
"?""2022-01-24 15:34:56.459"""	8.637022	85.11667	75	0.3821947	0
"?""2022-01-24 15:35:56.463"""	8.741778	121.4717	75	0.3916513	0
"?""2022-01-24 15:36:56.452"""	8.943528	172.1992	75	0.3922718	0.26214
"?""2022-01-24 15:37:56.441"""	9.023427	72.11055	75	0.5846474	0.26214
"?""2022-01-24 15:38:56.442"""	9.101499	72.15241	75	0.8434107	0.26214
"?""2022-01-24 15:39:56.447"""	9.179408	73.17924	75	1.069778	0.231314
"?""2022-01-24 15:40:56.451"""	9.258394	73.80373	75	1.24612	0.2532011
"?""2022-01-24 15:41:56.438"""	9.337912	74.62258	75	1.367174	0.1086334
"?""2022-01-24 15:42:56.442"""	9.417825	74.52198	75	1.465532	0
"?""2022-01-24 15:43:56.446"""	9.497999	74.71323	75	1.524758	0
"?""2022-01-24 15:44:56.435"""	9.578231	74.25033	75	1.568999	0.1091384
"?""2022-01-24 15:45:56.439"""	9.658524	75.05685	75	1.625097	0
"?""2022-01-24 15:46:56.426"""	9.738859	74.61747	75	1.672118	0
"?""2022-01-24 15:47:56.413"""	9.819224	74.85102	75	1.727942	0
"?""2022-01-24 15:48:56.419"""	9.899545	74.80676	75	1.774209	0
"?""2022-01-24 15:49:56.422"""	9.979904	74.54404	75	1.819938	0.1556271
"?""2022-01-24 15:50:56.409"""	10.06024	75.07067	75	1.864042	0
"?""2022-01-24 15:51:56.415"""	10.14063	74.56329	75	1.90543	0.1776901
"?""2022-01-24 15:52:56.403"""	10.22095	74.81313	75	1.948946	0.06428227
"?""2022-01-24 15:53:56.406"""	10.30137	75.15797	75	1.989191	0
"?""2022-01-24 15:54:56.410"""	10.38174	74.88809	75	2.030798	0
"?""2022-01-24 15:55:56.399"""	10.4621	75.17903	75	2.077523	0
"?""2022-01-24 15:56:56.402"""	10.54249	74.60857	75	2.106491	0.2129965
"?""2022-01-24 15:57:56.396"""	10.62293	74.86971	75	2.149118	0.1332821
"?""2022-01-24 15:58:56.394"""	10.70331	75.62997	75	2.178277	0.2020463
"?""2022-01-24 15:59:56.397"""	10.78374	74.92927	75	2.223442	0.09390395
"?""2022-01-24 16:00:56.391"""	10.86412	75.0909	75	2.251096	0
"?""2022-01-24 16:01:56.389"""	10.94451	74.81392	75	2.2794	0.1889137
"?""2022-01-24 16:02:56.383"""	11.0249	74.73574	75	2.313285	0
"?""2022-01-24 16:03:56.382"""	11.10533	74.78152	75	2.356051	0.09170332
"?""2022-01-24 16:04:56.371"""	11.18573	74.96935	75	2.382155	0
"?""2022-01-24 16:05:56.373"""	11.26614	75.11092	75	2.414903	0
"?""2022-01-24 16:06:56.361"""	11.34653	75.10513	75	2.447552	0
"?""2022-01-24 16:07:56.348"""	11.42692	74.8573	75	2.482165	0.1261704
"?""2022-01-24 16:08:56.353"""	11.50734	74.92591	75	2.514935	0
"?""2022-01-24 16:09:56.357"""	11.58775	75.07204	75	2.545165	0
"?""2022-01-24 16:10:56.345"""	11.66815	74.92317	75	2.566176	0
"?""2022-01-24 16:11:56.335"""	11.74854	74.9709	75	2.598758	0
"?""2022-01-24 16:12:56.336"""	11.82894	75.07466	75	2.631997	0
"?""2022-01-24 16:13:56.326"""	11.90933	74.90965	75	2.661156	0
"?""2022-01-24 16:14:56.328"""	11.98978	74.91162	75	2.683701	0.02865524
"?""2022-01-24 16:15:56.332"""	12.07016	74.76173	75	2.716539	0
"?""2022-01-24 16:16:56.320"""	12.15058	74.75529	75	2.747219	0
"?""2022-01-24 16:17:56.324"""	12.23097	75.00425	75	2.783599	0
"?""2022-01-24 16:18:56.312"""	12.31131	76.55628	75	2.815552	0
"?""2022-01-24 16:19:56.316"""	12.39169	74.08219	75	2.836654	0.1605119
"?""2022-01-24 16:20:56.304"""	12.47198	74.48193	75	2.871782	0
"?""2022-01-24 16:21:56.307"""	12.55235	74.93	75	2.894679	0
"?""2022-01-24 16:22:56.297"""	12.63276	74.93113	75	2.923018	0
"?""2022-01-24 16:23:56.299"""	12.71316	74.07521	75	2.957182	0.1007568
"?""2022-01-24 16:24:56.287"""	12.79342	74.84916	75	2.98532	0.09145682
"?""2022-01-24 16:25:56.277"""	12.87388	75.06639	75	3.010636	0
"?""2022-01-24 16:26:56.279"""	12.95427	74.36666	75	3.041864	0.098516
"?""2022-01-24 16:27:56.267"""	13.0347	74.45818	75	3.068297	0
"?""2022-01-24 16:28:56.255"""	13.11504	73.42879	75	3.097291	0.1108445
"?""2022-01-24 16:29:56.258"""	13.19547	75.11086	75	3.11975	0
"?""2022-01-24 16:30:56.249"""	13.2759	74.49336	75	3.15161	0.09428246
"?""2022-01-24 16:31:56.250"""	13.35631	75.90247	75	3.178843	0
"?""2022-01-24 16:32:56.255"""	13.43674	75.49969	75	3.207106	0
"?""2022-01-24 16:33:56.242"""	13.51717	74.43022	75	3.239721	0.088352
"?""2022-01-24 16:34:56.246"""	13.59757	74.59361	75	3.251604	0
"?""2022-01-24 16:35:56.250"""	13.67802	76.96684	75	3.281838	0
"?""2022-01-24 16:36:56.238"""	13.75841	74.46223	75	3.31413	0.2085184
"?""2022-01-24 16:37:56.226"""	13.83883	74.53623	75	3.346309	0
"?""2022-01-24 16:38:56.229"""	13.91924	74.0799	75	3.36509	0
"?""2022-01-24 16:39:56.219"""	13.99967	76.1857	75	3.392754	0
"?""2022-01-24 16:40:56.221"""	14.08006	74.95583	75	3.422727	0.07453056
"?""2022-01-24 16:41:56.210"""	14.1605	74.70236	75	3.44355	0
"?""2022-01-24 16:42:56.213"""	14.24095	75.12442	75	3.468552	0.1100229
"?""2022-01-24 16:43:56.217"""	14.32142	75.08232	75	3.494218	0
"?""2022-01-24 16:44:56.208"""	14.40186	74.44913	75	3.526719	0
"?""2022-01-24 16:45:56.209"""	14.48232	73.65322	75	3.550357	0
"?""2022-01-24 16:46:56.203"""	14.56274	75.7956	75	3.571057	0
"?""2022-01-24 16:47:56.188"""	14.64316	75.95464	75	3.605977	0
"?""2022-01-24 16:48:56.190"""	14.7236	75.8726	75	3.623267	0
"?""2022-01-24 16:49:56.193"""	14.80403	75.76724	75	3.652204	0
"?""2022-01-24 16:50:56.197"""	14.88454	75.96687	75	3.678538	0
"?""2022-01-24 16:51:56.184"""	14.96496	75.79001	75	3.690212	0
"?""2022-01-24 16:52:56.190"""	15.04542	74.83291	75	3.726591	0.08478262
"?""2022-01-24 16:53:56.180"""	15.12585	75.27166	75	3.748819	0
"?""2022-01-24 16:54:56.181"""	15.20631	74.09223	75	3.773758	0
"?""2022-01-24 16:55:56.170"""	15.2867	75.3274	75	3.806845	0.06899556
"?""2022-01-24 16:56:56.173"""	15.36718	73.51611	75	3.830025	0
"?""2022-01-24 16:57:56.160"""	15.44759	75.94105	75	3.85207	0
"?""2022-01-24 16:58:56.152"""	15.52802	74.74511	75	3.874092	0
"?""2022-01-24 16:59:56.151"""	15.60849	75.9556	75	3.901598	0
"?""2022-01-24 17:00:56.156"""	15.68894	75.72712	75	3.923743	0
"?""2022-01-24 17:01:56.145"""	15.76938	74.07237	75	3.948136	0
"?""2022-01-24 17:02:56.148"""	15.84984	76.08028	75	3.969554	0
"?""2022-01-24 17:03:56.152"""	15.93026	74.4923	75	4.001052	0
"?""2022-01-24 17:04:56.139"""	16.01071	74.52924	75	4.015127	0
"?""2022-01-24 17:05:56.144"""	16.09117	76.25267	75	4.039783	0
"?""2022-01-24 17:06:56.136"""	16.17163	74.89286	75	4.076814	0.06105199
"?""2022-01-24 17:07:56.136"""	16.25205	74.74529	75	4.097681	0
"?""2022-01-24 17:08:56.140"""	16.33253	75.52263	75	4.120602	0
"?""2022-01-24 17:09:56.127"""	16.41294	74.86982	75	4.141918	0
"?""2022-01-24 17:10:56.132"""	16.49339	75.95263	75	4.167362	0.07364833
"?""2022-01-24 17:11:56.136"""	16.5739	74.90472	75	4.19465	0
"?""2022-01-24 17:12:56.123"""	16.65432	75.65739	75	4.212766	0.07951426
"?""2022-01-24 17:13:56.128"""	16.73478	75.8764	75	4.242009	0
"?""2022-01-24 17:14:56.116"""	16.8152	74.11397	75	4.259596	0.07984983
"?""2022-01-24 17:15:56.120"""	16.89565	75.31394	75	4.286894	0
"?""2022-01-24 17:16:56.095"""	16.97605	75.20819	75	4.317843	0
"?""2022-01-24 17:17:56.079"""	17.05645	74.7588	75	4.338303	0
"?""2022-01-24 17:18:56.082"""	17.13693	75.09809	75	4.355361	0
"?""2022-01-24 17:19:56.070"""	17.21743	74.92289	75	4.383758	0
"?""2022-01-24 17:20:56.074"""	17.29786	75.30365	75	4.397925	0
"?""2022-01-24 17:21:56.078"""	17.37833	75.21425	75	4.430421	0.06222131
"?""2022-01-24 17:22:56.070"""	17.4588	74.93677	75	4.447918	0
"?""2022-01-24 17:23:56.071"""	17.53923	75.07227	75	4.470847	0.07764697
"?""2022-01-24 17:24:56.061"""	17.61966	75.14259	75	4.493443	0
"?""2022-01-24 17:25:56.061"""	17.70015	75.26163	75	4.517035	0
"?""2022-01-24 17:26:56.066"""	17.78055	75.11412	75	4.53992	0.06630152
"?""2022-01-24 17:27:56.054"""	17.86096	75.04725	75	4.558601	0
"?""2022-01-24 17:28:56.046"""	17.94148	74.53374	75	4.584145	0.07782148
