"Time","MFC IN Counter value ls","MFC IN Measure sccm","MFC IN Setpoint sccm","Meter Out Counter value ls","Meter Out Measure ls/min"
﻿"2021-12-06 13:11:28.779",0,0,0,0,0
﻿"2021-12-06 13:11:38.776",0,0,0,0,0
﻿"2021-12-06 13:11:48.775",0,0,0,0,0
﻿"2021-12-06 13:11:58.777",0,0,0,0,0
﻿"2021-12-06 13:12:08.776",0,0,0,0,0
﻿"2021-12-06 13:12:18.775",0,0,0,0,0
﻿"2021-12-06 13:12:28.776",0,0,0,0,0
﻿"2021-12-06 13:12:38.776",0,0,0,0,0
﻿"2021-12-06 13:12:48.776",0,0,0,0,0
﻿"2021-12-06 13:12:58.776",0,0,0,0,0
﻿"2021-12-06 13:13:08.776",0,0,0,0,0
﻿"2021-12-06 13:13:18.777",0,0,0,0,0
﻿"2021-12-06 13:13:28.776",0,0,0,0,0
﻿"2021-12-06 13:13:38.776",0,0,0,0,0
﻿"2021-12-06 13:13:48.775",0,0,0,0,0
﻿"2021-12-06 13:13:58.775",0,0,0,0,0
﻿"2021-12-06 13:14:08.775",0,0,0,0,0
﻿"2021-12-06 13:14:18.776",0,0,0,0,0
﻿"2021-12-06 13:14:28.776",0,0,0,0,0
﻿"2021-12-06 13:14:38.777",0,0,0,0,0
﻿"2021-12-06 13:14:48.776",0,0,0,0,0
﻿"2021-12-06 13:14:58.776",0,0,0,0,0
﻿"2021-12-06 13:15:08.776",0,0,0,0,0
﻿"2021-12-06 13:15:18.776",0,0,0,0,0
﻿"2021-12-06 13:15:28.776",0,0,0,0,0
﻿"2021-12-06 13:15:38.775",0,0,0,0,0
﻿"2021-12-06 13:15:48.775",0,0,0,0,0
﻿"2021-12-06 13:15:58.777",0,0,0,0,0
﻿"2021-12-06 13:16:08.776",0,0,0,0,0
﻿"2021-12-06 13:16:18.776",0,0,0,0,0
﻿"2021-12-06 13:16:28.776",0,0,0,0,0
﻿"2021-12-06 13:16:38.777",0,0,0,0,0
﻿"2021-12-06 13:16:48.776",0,0,0,0,0
﻿"2021-12-06 13:16:58.776",0,0,0,0,0
﻿"2021-12-06 13:17:08.776",0,0,0,0,0
﻿"2021-12-06 13:17:18.776",0,0,0,0,0
﻿"2021-12-06 13:17:28.776",0,0,0,0,0
﻿"2021-12-06 13:17:38.776",0,0,0,0,0
﻿"2021-12-06 13:17:48.777",0,0,0,0,0
﻿"2021-12-06 13:17:58.776",0,0,0,0,0
﻿"2021-12-06 13:18:08.775",0,0,0,0,0
﻿"2021-12-06 13:18:18.774",0,0,0,0,0
﻿"2021-12-06 13:18:28.776",0,0,0,0,0
﻿"2021-12-06 13:18:38.777",0,0,0,0,0
﻿"2021-12-06 13:18:48.775",0,0,0,0,0
﻿"2021-12-06 13:18:58.775",0,0,0,0,0
﻿"2021-12-06 13:19:08.777",0,0,0,0,0
﻿"2021-12-06 13:19:18.776",0,0,0,0,0
﻿"2021-12-06 13:19:28.777",0,0,0,0,0
﻿"2021-12-06 13:19:38.775",0,0,0,0,0
﻿"2021-12-06 13:19:48.776",0,0,0,0,0
﻿"2021-12-06 13:19:58.776",0,0,0,0,0
﻿"2021-12-06 13:20:08.776",0,0,0,0,0
﻿"2021-12-06 13:20:18.777",0,0,0,0,0
﻿"2021-12-06 13:20:28.776",0,0,0,0,0
﻿"2021-12-06 13:20:38.776",0,0,0,0,0
﻿"2021-12-06 13:20:48.776",0,0,0,0,0
﻿"2021-12-06 13:20:58.776",0,0,0,0,0
﻿"2021-12-06 13:21:08.776",0,0,0,0,0
﻿"2021-12-06 13:21:18.776",0,0,0,0,0
﻿"2021-12-06 13:21:28.776",0,0,0,0,0
﻿"2021-12-06 13:21:38.777",0,0,0,0,0
﻿"2021-12-06 13:21:48.776",0,0,0,0,0
﻿"2021-12-06 13:21:58.776",0,0,0,0,0
﻿"2021-12-06 13:22:08.776",0,0,0,0,0
﻿"2021-12-06 13:22:18.776",0,0,0,0,0
﻿"2021-12-06 13:22:28.775",0,0,0,0,0
﻿"2021-12-06 13:22:38.776",0,0,0,0,0
﻿"2021-12-06 13:22:48.776",0,0,0,0,0
﻿"2021-12-06 13:22:58.777",0,0,0,0,0
