21:04.4,,,,,,,,,,,,
,,,,,,,,,,,,
Time Stamp,Inlet Pressure (psia),Outlet Pressure (psia),Slim Tube 1 (C),Slim Tube 2 (C),Slim Tube 3 (C),Slim Tube 4 (C),Slim Tube 5 (C),Room Temp. (C), Box Temp (C),Excitation Voltage (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC)Top Confining Temp (VDC)
12:04.5,1453.570017,1137.185044,-9999,10.089573,6.9402,0,0,0,0,2.177256,1.458808,0
13:04.5,1468.308025,1149.072718,-9999,10.08609,6.911293,0,0,0,0,2.189036,1.463547,0
14:04.5,1482.240694,1151.813651,-9999,10.063287,6.910302,0,0,0,0,2.200172,1.46464,0
15:04.5,1496.628058,1156.553019,-9999,10.067804,6.897141,0,0,0,0,2.211671,1.46653,0
16:04.5,1504.107415,1163.137407,-9999,10.052154,6.876409,0,0,0,0,2.217649,1.469155,0
17:04.5,1504.624265,1170.519211,-9999,10.003731,6.869889,0,0,0,0,2.218062,1.472098,0
18:04.5,1504.689771,1165.696247,-9999,9.98097,6.920893,0,0,0,0,2.218114,1.470175,0
19:04.5,1504.806047,1145.683847,-9999,9.931111,7.044154,0,0,0,0,2.218207,1.462196,0
20:04.5,1503.460681,1091.89757,-9999,9.994852,7.040735,0,0,0,0,2.217132,1.440752,0
21:04.5,1503.169761,1054.062142,-9999,9.989015,6.995484,0,0,0,0,2.216899,1.425668,0
22:04.5,1503.053246,1022.103861,-9999,9.964483,6.937529,0,0,0,0,2.216806,1.412926,0
23:04.5,1502.89578,994.030472,-9999,9.964491,6.946195,0,0,0,0,2.21668,1.401734,0
24:04.5,1502.900528,959.998756,-9999,9.939248,6.874085,0,0,0,0,2.216684,1.388166,0
25:04.5,1502.92209,935.517885,-9999,9.925034,7.046117,0,0,0,0,2.216701,1.378405,0
26:04.5,1502.695076,913.434915,-9999,9.919376,6.943035,0,0,0,0,2.21652,1.369601,0
27:04.5,1502.756197,871.524653,-9999,9.894971,6.892309,0,0,0,0,2.216569,1.352892,0.966667
28:04.5,1502.688831,785.570395,-9999,9.860562,6.862629,0,0,0,0,2.216515,1.318623,1
29:04.5,1502.465317,762.485941,-9999,9.846712,6.889133,0,0,0,0,2.216336,1.309419,1.8
30:04.5,1502.415382,758.47168,-9999,9.845362,6.894182,0,0,0,0,2.216296,1.307819,2
31:04.5,1502.430983,757.297422,-9999,9.855244,6.910128,0,0,0,0,2.216309,1.307351,2.466667
32:04.5,1502.349861,758.707419,-9999,9.841216,6.879305,0,0,0,0,2.216244,1.307913,3
33:04.5,1502.363682,758.266639,-9999,9.839629,6.938342,0,0,0,0,2.216255,1.307737,3
34:04.5,1502.286662,760.101195,-9999,9.815737,6.878536,0,0,0,0,2.216194,1.308469,3
35:04.5,1502.27562,755.833156,-9999,9.762737,6.820862,0,0,0,0,2.216185,1.306767,3.15
36:04.5,1502.240028,758.307378,-9999,9.759827,6.896417,0,0,0,0,2.216156,1.307753,4
37:04.5,1502.200121,758.283184,-9999,9.763068,6.826226,0,0,0,0,2.216124,1.307744,4
38:04.6,1502.540125,759.015765,-9999,9.751322,6.868439,0,0,0,0,2.216396,1.308036,4
39:04.5,1502.770669,756.781767,-9999,9.756779,6.889748,0,0,0,0,2.21658,1.307145,4
40:04.6,1502.192042,756.263794,-9999,9.768888,6.846463,0,0,0,0,2.216118,1.306939,4.6
41:04.6,1501.800104,758.1808,-9999,9.765722,6.891301,0,0,0,0,2.215805,1.307703,5
42:04.6,1501.821188,757.479116,-9999,9.76106,6.86367,0,0,0,0,2.215822,1.307423,5
43:04.6,1501.866037,749.66321,-9999,9.770266,6.882676,0,0,0,0,2.215857,1.304307,5
44:04.6,1501.786521,757.851573,-9999,9.783674,6.929157,0,0,0,0,2.215794,1.307572,5.266667
45:04.6,1501.73944,756.914499,-9999,9.778941,6.896132,0,0,0,0,2.215756,1.307198,6
46:04.6,1501.677682,769.616433,-9999,9.765631,6.797576,0,0,0,0,2.215707,1.312262,6
47:04.6,1501.877402,774.591963,-9999,9.719936,6.822407,0,0,0,0,2.215866,1.314246,6
48:04.6,1502.076461,775.793031,-9999,9.649734,6.860594,0,0,0,0,2.216026,1.314725,6
49:04.6,1502.695752,763.887142,-9999,9.605229,6.817664,0,0,0,0,2.216521,1.309978,6
50:04.6,1502.611284,749.838052,-9999,9.592308,6.870717,0,0,0,0,2.216453,1.304377,6.7
51:04.6,1502.376772,749.65723,-9999,9.605366,6.881624,0,0,0,0,2.216266,1.304305,7
52:04.6,1501.717346,778.804711,-9999,9.677063,6.896328,0,0,0,0,2.215739,1.315925,7
53:04.6,1501.394131,779.533182,-9999,9.706952,6.907941,0,0,0,0,2.21548,1.316216,7
54:04.6,1501.546088,777.286151,-9999,9.698378,6.854016,0,0,0,0,2.215602,1.31532,7.283333
55:04.6,1501.409349,777.042938,-9999,9.607604,6.22767,0,0,0,0,2.215492,1.315223,8
56:04.6,1501.545676,768.814956,-9999,9.429589,5.626433,0,0,0,0,2.215601,1.311943,8
57:04.6,1501.977625,747.093033,-9999,9.309319,5.635298,0,0,0,0,2.215947,1.303282,8
58:04.6,1502.138134,748.743253,-9999,9.160961,5.654213,0,0,0,0,2.216075,1.30394,8
59:04.6,1502.140401,748.443727,-9999,9.051059,5.642806,0,0,0,0,2.216077,1.303821,8
00:04.6,1502.167984,748.202756,-9999,8.928983,5.664556,0,0,0,0,2.216099,1.303725,8.433333
01:04.6,1502.204754,749.562147,-9999,8.762714,5.662163,0,0,0,0,2.216128,1.304267,9
02:04.6,1502.143891,775.806088,-9999,8.649532,5.754756,0,0,0,0,2.216079,1.31473,9
03:04.6,1502.159463,752.76621,-9999,8.522842,5.816942,0,0,0,0,2.216092,1.305544,9
04:04.6,1502.126322,755.752425,-9999,8.42991,5.758856,0,0,0,0,2.216065,1.306735,9
05:04.6,1502.085132,747.542583,-9999,8.3234,5.78529,0,0,0,0,2.216032,1.303462,9.916667
06:04.6,1501.985545,749.361566,-9999,8.211581,5.816277,0,0,0,0,2.215953,1.304187,10
07:04.6,1501.97155,750.69599,-9999,8.125044,5.78554,0,0,0,0,2.215942,1.304719,10
08:04.6,1501.955924,750.87751,-9999,8.032661,5.763384,0,0,0,0,2.215929,1.304791,10
09:04.6,1501.964992,749.921498,-9999,7.953257,5.735448,0,0,0,0,2.215936,1.30441,10.5
10:04.6,1501.992277,748.966384,-9999,7.862536,5.72104,0,0,0,0,2.215958,1.304029,11
11:04.6,1502.028157,751.090699,-9999,7.789402,5.681901,0,0,0,0,2.215987,1.304876,11
12:04.6,1502.001559,749.397471,-9999,7.733841,5.703971,0,0,0,0,2.215966,1.304201,11
13:04.6,1501.98998,748.292856,-9999,7.632705,5.652167,0,0,0,0,2.215956,1.303761,11
14:04.6,1501.911761,749.956357,-9999,7.564927,5.648516,0,0,0,0,2.215894,1.304424,11
15:04.6,1501.478827,751.707018,-9999,7.528411,5.664516,0,0,0,0,2.215548,1.305122,11.066667
16:04.6,1501.570156,750.228524,-9999,7.508165,5.708518,0,0,0,0,2.215621,1.304532,12
17:04.6,1501.53878,750.027196,-9999,7.426083,5.653658,0,0,0,0,2.215596,1.304452,12
18:04.6,1501.779173,750.284064,-9999,7.407274,5.698356,0,0,0,0,2.215788,1.304555,12
19:04.6,1501.521603,750.08281,-9999,7.345274,5.678901,0,0,0,0,2.215582,1.304474,12.7
20:04.6,1501.436345,749.290079,-9999,7.307257,5.680324,0,0,0,0,2.215514,1.304158,13
21:04.6,1501.775628,750.026075,-9999,7.288166,5.737584,0,0,0,0,2.215785,1.304452,13
22:04.6,1501.262199,750.257079,-9999,7.29283,5.687262,0,0,0,0,2.215375,1.304544,13
