,CH4_12,N2_12,CO2_12,CH4_14,N2_14,CO2_14
167,0.001268434,0.763656786,0.23507478,0.090365935,0.631683285,0.27795078
168,0.001268814,0.76346915,0.235262036,0.089382327,0.631667155,0.278950518
169,0.001269193,0.763281402,0.235449405,0.088287531,0.632117644,0.279594825
170,0.00126955,0.763094217,0.235636233,0.087214668,0.632476503,0.280308829
171,0.00126996,0.76290539,0.23582465,0.086054058,0.633246764,0.280699178
172,0.001270325,0.762717778,0.236011898,0.085051656,0.633289659,0.281658685
173,0.001270705,0.762529581,0.236199714,0.083925366,0.633927669,0.282146965
174,0.001271064,0.762341932,0.236387004,0.082895383,0.634096023,0.283008594
175,0.00127146,0.762153089,0.236575451,0.0818825,0.634163109,0.283954391
176,0.001271853,0.761964188,0.236763958,0.080804711,0.634569236,0.284626053
177,0.001272235,0.761775539,0.236952226,0.079647927,0.635432213,0.28491986
178,0.001272603,0.761587205,0.237140192,0.078710725,0.635039449,0.286249826
179,0.001272983,0.761398392,0.237328625,0.077548347,0.635976864,0.286474789
180,0.001273367,0.761209344,0.237517289,0.076476304,0.63638928,0.287134416
181,0.001273755,0.761020085,0.23770616,0.075394687,0.63687642,0.287728893
182,0.00127414,0.760830808,0.237895052,0.074468831,0.636283361,0.289247808
183,0.001274519,0.760641601,0.238083879,0.073306241,0.637351896,0.289341863
184,0.001274895,0.76045238,0.238272725,0.072237921,0.6377637,0.289998379
185,0.001275291,0.760262471,0.238462238,0.071166403,0.638217999,0.290615598
186,0.001275674,0.760072799,0.238651526,0.070152868,0.638181116,0.291666017
187,0.00127605,0.75988327,0.23884068,0.069124652,0.638241638,0.29263371
188,0.001276451,0.759692855,0.239030694,0.067989509,0.639331586,0.292678905
189,0.001276825,0.759503162,0.239220013,0.066948747,0.639523132,0.29352812
190,0.001277218,0.759312772,0.23941001,0.065855944,0.640301978,0.293842078
191,0.001277572,0.75912351,0.239598918,0.064799887,0.640705134,0.294494979
192,0.00127795,0.758933386,0.239788664,0.063756332,0.640946294,0.295297374
193,0.001278357,0.758742222,0.239979421,0.06270238,0.641348002,0.295949618
194,0.001278749,0.758551435,0.240169816,0.062157862,0.641215398,0.296626741
195,0.001279129,0.758360934,0.240359938,0.061773362,0.640296416,0.297930222
196,0.001279526,0.758169744,0.240550729,0.060899823,0.641784387,0.29731579
197,0.0012799,0.757979218,0.240740882,0.060345205,0.641708196,0.297946598
198,0.001280298,0.757787794,0.240931908,0.059812471,0.641519308,0.298668221
199,0.001280663,0.757597379,0.241121959,0.05929501,0.641245803,0.299459188
200,0.001281069,0.757405449,0.241313482,0.05884847,0.640581746,0.300569783
201,0.001281441,0.757214569,0.241503989,0.058318162,0.640352573,0.301329265
202,0.00128183,0.757023027,0.241695143,0.057761596,0.640263778,0.301974626
203,0.001282216,0.756831437,0.241886347,0.057188754,0.640264718,0.302546528
204,0.001282611,0.756639486,0.242077904,0.056585147,0.640447829,0.302967024
205,0.00128297,0.756448611,0.242268419,0.055978859,0.640655224,0.303365917
206,0.001283371,0.756256216,0.242460413,0.055375676,0.640854431,0.303769893
207,0.00128376,0.756064129,0.242652111,0.054917483,0.64016928,0.304913237
208,0.001284126,0.755872707,0.242843167,0.054285079,0.64055796,0.305156961
209,0.001284546,0.755679321,0.243036133,0.053732174,0.640450814,0.305817011
210,0.001284928,0.755487135,0.243227938,0.053076985,0.641019127,0.305903888
211,0.00128532,0.755294502,0.243420177,0.052543898,0.640790351,0.30666575
212,0.001285711,0.755101797,0.243612492,0.051979757,0.640767231,0.307253012
213,0.001286122,0.75490828,0.243805599,0.051404711,0.640825391,0.307769898
214,0.001286489,0.754716175,0.243997336,0.05084747,0.640756492,0.308396038
215,0.001286879,0.754523189,0.244189932,0.050236926,0.641088396,0.308674678
216,0.001287269,0.754330086,0.244382645,0.049976852,0.640352258,0.30967089
217,0.001287667,0.75413657,0.244575763,0.049473452,0.640929056,0.309597492
218,0.001288057,0.753943232,0.244768711,0.049067787,0.640985481,0.309946732
219,0.001288433,0.7537503,0.244961267,0.048641948,0.641160861,0.310197191
220,0.001288833,0.753556394,0.245154773,0.048285865,0.640948411,0.310765724
221,0.001289254,0.753361611,0.245349135,0.047871025,0.641073487,0.311055488
222,0.001289622,0.753168668,0.24554171,0.047589724,0.640428673,0.311981603
223,0.001290006,0.752975008,0.245734985,0.047235095,0.640203599,0.312561305
224,0.001290427,0.752779894,0.245929679,0.046842186,0.640205767,0.312952047
225,0.001290837,0.752585044,0.246124119,0.046504025,0.639880879,0.313615095
226,0.00129122,0.752391102,0.246317678,0.046206909,0.639296632,0.314496459
227,0.001291611,0.752196773,0.246511616,0.045869581,0.638953663,0.315176755
228,0.001292013,0.752001905,0.246706082,0.045513771,0.638722551,0.315763678
229,0.001292413,0.751806991,0.246900596,0.045140398,0.638601648,0.316257954
230,0.001292793,0.751612743,0.247094464,0.044741602,0.638649916,0.316608483
231,0.001293201,0.751417314,0.247289485,0.044343763,0.638697327,0.31695891
232,0.001293587,0.751222594,0.247483819,0.043985318,0.638485805,0.317528877
233,0.001293988,0.751027201,0.247678811,0.04363668,0.638206525,0.318156796
234,0.001294375,0.750832245,0.24787338,0.04328712,0.637929351,0.318783529
235,0.001294777,0.750636611,0.248068612,0.042940986,0.637625236,0.319433779
236,0.001295174,0.750441061,0.248263765,0.042588798,0.637359377,0.320051826
237,0.001295545,0.750246357,0.248458097,0.042237094,0.637087568,0.320675338
238,0.001295964,0.750049718,0.248654318,0.041886513,0.636801879,0.321311608
239,0.001296337,0.749854782,0.248848881,0.041536291,0.636512002,0.321951707
240,0.001296755,0.749657935,0.24904531,0.041130212,0.636646315,0.322223473
241,0.001297136,0.74946248,0.249240385,0.040807365,0.636140429,0.323052206
242,0.001297546,0.749265713,0.24943674,0.040414011,0.636183274,0.323402715
243,0.001297936,0.749069654,0.24963241,0.040063841,0.635883818,0.32405234
244,0.001298318,0.748873809,0.249827873,0.03964534,0.636144051,0.324210608
245,0.001298716,0.748677222,0.250024062,0.039283905,0.635940497,0.324775598
246,0.001299142,0.748479378,0.250221479,0.038958679,0.635425725,0.325615596
247,0.001299525,0.748283177,0.250417298,0.038630204,0.634925387,0.326444408
248,0.001299916,0.748086523,0.250613561,0.038140963,0.635843971,0.326015066
249,0.001300306,0.747889791,0.250809902,0.037882585,0.634708788,0.327408627
250,0.001300726,0.747691786,0.251007489,0.037381797,0.635781209,0.326836995
251,0.001301118,0.747494772,0.251204111,0.037048125,0.635324355,0.32762752
252,0.001301518,0.747297297,0.251401185,0.036745652,0.634552843,0.328701505
253,0.001301909,0.747100085,0.251598005,0.036308682,0.635084413,0.328606905
254,0.00130233,0.746901581,0.25179609,0.035889147,0.635470365,0.328640488
255,0.001302729,0.746703822,0.251993449,0.035607239,0.634461155,0.329931606
256,0.001303129,0.7465059,0.252190971,0.035274129,0.633953679,0.330772193
257,0.001303544,0.746307283,0.252389173,0.034915923,0.633699953,0.331384124
258,0.001303928,0.746109817,0.252586255,0.034546066,0.633572457,0.331881477
259,0.001304329,0.74591153,0.25278414,0.034165504,0.633567939,0.332266557
260,0.001304716,0.745713744,0.25298154,0.033774932,0.633688277,0.332536792
261,0.00130514,0.745514278,0.253180582,0.033405929,0.633565283,0.333028788
262,0.001305517,0.74531665,0.253377832,0.033047458,0.633318222,0.33363432
263,0.001305927,0.745117562,0.253576511,0.032691897,0.633028844,0.334279259
264,0.001306314,0.744919341,0.253774345,0.032339123,0.632695234,0.334965643
265,0.001306724,0.744720007,0.253973269,0.031983541,0.632390279,0.33562618
266,0.001307127,0.744520867,0.254172007,0.031625412,0.632110725,0.336263863
